English,Arabic
really,حقًا
action,فعل
start,يبدأ
series,مسلسل
model,نموذج
features,سمات
air,هواء
industry,صناعة
plan,يخطط
human,بشر
provided,متاح
tv,تلفزيون
yes,نعم
required,مطلوب
second,ثانية
hot,حار
accessories,مُكَمِّلات
cost,يكلف
movie,فيلم
forums,المنتديات
march,يمشي
la,لا
september,سبتمبر
better,أحسن
say,يقول
questions,أسئلة
july,يوليو
yahoo,ياهو
going,ذاهب
medical,طبي
test,امتحان
friend,صديق
come,يأتي
dec,ديسمبر
server,الخادم
pc,الكمبيوتر
study,يذاكر
application,طلب
cart,عربة التسوق
staff,طاقم عمل
articles,مقالات
san,سان
feedback,تعليق
again,مرة أخرى
play,يلعب
looking,يبحث
issues,مشاكل
april,أبريل
never,أبداً
users,المستخدمون
complete,مكتمل
street,شارع
topic,عنوان
comment,تعليق
financial,مالي
things,أشياء
working,عمل
against,ضد
standard,معيار
tax,ضريبة
person,شخص
below,أقل
mobile,متحرك
less,أقل
got,يملك
blog,مدونة
party,حزب
payment,قسط
equipment,معدات
login,تسجيل الدخول
student,طالب
let,يترك
programs,البرامج
offers,عروض
legal,قانوني
above,فوق
recent,مؤخرًا
park,حديقة
stores,المتاجر
side,جانب
act,يمثل
problem,مشكلة
red,أحمر
give,يعطي
memory,ذاكرة
performance,أداء
social,اجتماعي
q,س
august,أغسطس
quote,يقتبس
language,لغة
story,قصة
sell,يبيع
options,خيارات
experience,خبرة
rates,معدلات
create,يخلق
key,مفتاح
body,جسم
young,شاب
america,أمريكا
important,مهم
field,مجال
few,عدد قليل
east,شرق
paper,ورق
single,أعزب
ii,الثاني
age,عمر
activities,أنشطة
club,النادي
example,مثال
girls,فتيات
additional,إضافي
password,كلمة المرور
z,ض
latest,أحدث
something,شئ ما
road,طريق
gift,هدية
question,سؤال
changes,التغييرات
night,ليلة
ca,كاليفورنيا
hard,صعب
texas,تكساس
oct,أكتوبر
pay,يدفع
four,أربعة
poker,البوكر
status,حالة
browse,تصفح
issue,مشكلة
range,يتراوح
building,مبنى
seller,تاجر
court,محكمة
february,شهر فبراير
always,دائماً
result,نتيجة
audio,صوتي
light,ضوء
write,يكتب
war,حرب
nov,نوفمبر
offer,يعرض
blue,أزرق
groups,مجموعات
al,آل
easy,سهل
given,منح
files,الملفات
event,حدث
release,يطلق
analysis,تحليل
request,طلب
fax,الفاكس
china,الصين
making,تحضير
picture,صورة
needs,الاحتياجات
possible,ممكن
might,قد
professional,احترافي
yet,حتى الآن
month,شهر
major,رئيسي
star,نجمة
areas,المناطق
future,مستقبل
space,فضاء
committee,لجنة
hand,يُسلِّم
sun,شمس
cards,البطاقات
problems,مشاكل
london,لندن
washington,واشنطن
meeting,مقابلة
rss,RSS
become,يصبح
interest,اهتمام
id,بطاقة تعريف
child,طفل
keep,يحفظ
enter,يدخل
california,كاليفورنيا
porn,إباحية
share,يشارك
similar,مشابه
garden,حديقة
schools,المدارس
million,مليون
added,وأضاف
reference,مرجع
companies,شركات
listed,مدرج
baby,طفل
learning,تعلُّم
energy,طاقة
run,يجري
delivery,توصيل
net,شبكة
popular,شائع
term,شرط
film,فيلم
stories,قصص
put,يضع
computers,أجهزة الكمبيوتر
journal,مجلة
reports,التقارير
co,شارك
try,يحاول
welcome,مرحباً
central,وسط
images,الصور
president,رئيس
notice,يلاحظ
god,إله
original,إبداعي
head,رأس
radio,مذياع
until,حتى
cell,خلية
color,لون
self,الذات
council,مجلس
away,بعيد
includes,يشمل
track,مسار
australia,أستراليا
discussion,مناقشة
archive,أرشيف
once,مرة واحدة
others,آحرون
entertainment,ترفيه
agreement,اتفاق
format,شكل
least,الأقل
society,مجتمع
months,شهور
log,سجل
safety,أمان
friends,أصدقاء
sure,بالتأكيد
faq,التعليمات
trade,تجارة
edition,الإصدار
cars,السيارات
messages,رسائل
marketing,تسويق
tell,يخبر
further,إضافي
updated,محدث
association,منظمة
able,قادر
having,نأخذ
provides,يوفر
david,ديفيد
fun,هزار
already,بالفعل
green,أخضر
studies,دراسات
close,يغلق
common,شائع
drive,يقود
specific,محدد
several,عديد
gold,ذهب
feb,فبراير
living,معيشة
sep,سبتمبر
collection,مجموعة
called,مُسَمًّى
short,قصير
arts,الفنون
lot,كثير
ask,بسأل
display,عرض
limited,محدود
powered,مدعوم
solutions,حلول
means,وسائل
director,مخرج
daily,يوميًا
beach,شاطئ
past,ماضي
natural,طبيعي
whether,سواء
due,حق
et,ET
electronics,الإلكترونيات
five,خمسة
upon,على
period,فترة
planning,تخطيط
database,قاعدة البيانات
says,يقول
official,رسمي
weather,طقس
mar,مارس
land,أرض
average,متوسط
done,منتهي
technical,اِصطِلاحِيّ
window,نافذة او شباك
france,فرنسا
pro,طليعة
region,منطقة
island,جزيرة
record,سِجِلّ
direct,مباشر
microsoft,مايكروسوفت
conference,مؤتمر
environment,بيئة
records,السجلات
st,شارع
district,يصرف
calendar,تقويم
costs,التكاليف
style,أسلوب
url,عنوان URL
front,أمام
statement,إفادة
update,تحديث
parts,القطع
aug,أغسطس
ever,أبدًا
downloads,التحميلات
early,مبكر
miles,اميال
sound,صوت
resource,مورد
present,حاضر
applications,التطبيقات
either,أيضاً
ago,منذ
document,وثيقة
word,كلمة
works,يعمل
material,مادة
bill,فاتورة
apr,أبريل
written,مكتوب
talk,يتحدث
federal,الفيدرالية
hosting,الاستضافة
rules,قواعد
final,أخير
adult,بالغ
tickets,التذاكر
thing,شيء
centre,مركز
requirements,متطلبات
via,عبر
cheap,رخيص
nude,ناقص
kids,أطفال
finance,تمويل
TRUE,حقيقي
minutes,دقائق
else,آخر
mark,علامة
third,ثالث
rock,صخر
gifts,الهدايا
europe,أوروبا
reading,قراءة
topics,المواضيع
bad,سيء
individual,فردي
tips,نصائح
plus,زائد
auto,آلي
cover,غطاء
usually,عادة
edit,يحرر
together,معاً
videos,أشرطة فيديو
percent,نسبه مئويه
fast,سريع
function,وظيفة
fact,حقيقة
unit,وحدة
getting,الحصول
global,عالمي
tech,تقنية
meet,يقابل
far,بعيد
economic,اقتصادي
en,en
player,لاعب
projects,المشاريع
lyrics,كلمات
often,غالباً
subscribe,يشترك
submit,يُقدِّم
germany,ألمانيا
amount,كمية
watch,يشاهد
included,وشملت
feel,يشعر
though,رغم ذلك
bank,بنك
risk,مخاطرة
thanks,شكرًا
everything,كل شئ
deals,صفقات
various,متنوع
words,كلمات
linux,Linux
jul,يوليو
production,إنتاج
commercial,تجاري
james,جوامع
weight,وزن
town,بلدة
heart,قلب
advertising,دعاية
received,تلقى
choose,يختار
treatment,علاج
newsletter,النشرة الإخبارية
archives,أرشيف
points,نقاط
knowledge,معرفة
magazine,مجلة
error,خطأ
camera,آلة تصوير
jun,يونيو
girl,بنت
currently,حالياً
construction,بناء
toys,ألعاب الأطفال
registered,مسجل
clear,واضح
golf,الجولف
receive,يستلم
domain,اِختِصاص
methods,طُرق
chapter,الفصل
makes,يصنع
protection,حماية
policies,سياسات
loan,يُقرض
wide,واسع
beauty,جمال
manager,مدير
india,الهند
position,موضع
taken,مأخوذ
sort,نوع
listings,القوائم
models,عارضات ازياء
michael,ميخائيل
known,معروف
half,نصف
cases,حالات
step,خطوة
engineering,هندسة
florida,فلوريدا
simple,بسيط
quick,سريع
none,لا أحد
wireless,لاسلكي
license,رخصة
paul,بول
friday,جمعة
lake,بحيرة
whole,جميع
annual,سنوي
published,نشرت
later,لاحقاً
basic,أساسي
sony,سوني
shows,عروض
corporate,شركة كبرى
google,جوجل
church,كنيسة
method,طريقة
purchase,شراء
customers,عملاء
active,نشيط
response,إجابة
practice,يمارس
hardware,المعدات
figure,شكل
materials,مواد
fire,نار
holiday,عطلة
chat,محادثة
enough,كافٍ
designed,مصمم
along,على امتداد
among,ضمن
death,موت
writing,كتابة
speed,سرعة
html,لغة البرمجة
countries,بلدان
loss,خسارة
face,وجه
brand,ماركة
discount,تخفيض
higher,أعلى
effects,تأثيرات
created,مخلوق
remember,يتذكر
standards,المعايير
oil,زيت
bit,قليل
yellow,أصفر
political,سياسي
increase,يزيد
advertise,يعلن
kingdom,مملكة
base,قاعدة
near,قريب
environmental,البيئة
thought,معتقد
stuff,أشياء
french,فرنسي
storage,تخزين
oh,أوه
japan,اليابان
doing,عمل
loans,القروض
shoes,أحذية
entry,دخول
stay,يقضي
nature,طبيعة
orders,طلبات
availability,توافر
africa,أفريقيا
summary,ملخص
turn,دور
mean,يقصد
growth,نمو
notes,ملحوظات
agency,وكالة
king,ملِك
monday,الاثنين
european,أوروبي
activity,نشاط
copy,ينسخ
although,بالرغم من
drug,دواء
pics,صور
western,الغربي
income,دخل
force,قوة
cash,نقدي
employment,توظيف
overall,إجمالي
bay,خليج
river,نهر
commission,عمولة
ad,إعلان
package,طَرد
contents,محتويات
seen,مرئي
players,اللاعبون
engine,محرك
port,ميناء
album,الألبوم
regional,إقليمية
stop,قف
supplies,لوازم
started,بدأت
administration,إدارة
bar,حاجِز
institute,معهد
views,الآراء
plans,خطط
double,مزدوج
dog,كلب
build,يبني
screen,شاشة
exchange,تبادل
types,الأنواع
soon,قريباً
sponsored,برعاية
lines,خطوط
electronic,إلكتروني
continue,يكمل
across,عير
benefits,فوائد
needed,ضروري
season,موسم
apply,يتقدم
someone,شخص ما
held,محتجز
ny,نيويورك
anything,أي شئ
printer,طابعة
condition,حالة
effective,فعال
believe,يعتقد
organization,منظمة
effect,تأثير
asked,طلبت
eur,يورو
mind,عقل
sunday,الأحد
selection,اختيار
casino,كازينو
pdf,بي دي إف
lost,ضائع
tour,رحلة
menu,قائمة طعام
volume,مقدار
cross,يعبر
anyone,أي واحد
mortgage,القرض العقاري
hope,يأمل
silver,فضة
corporation,مؤسَّسة
wish,يتمنى
inside,داخل
solution,حل
mature,ناضجة
role,دور
rather,بدلاً
weeks,أسابيع
addition,إضافة
came,أتى
supply,إمداد
nothing,لا شئ
certain,تأكيد
usr,USR
executive,تنفيذي
running,جري
lower,أدنى
necessary,ضروري
union,اتحاد
jewelry,مجوهرات
according,حسب
dc,العاصمة
clothing,ملابس
mon,الاثنين
com,كوم
particular,خاص
fine,بخير
names,أسماء
robert,روبرت
homepage,الصفحة الرئيسية
hour,ساعة
gas,غاز
skills,مهارات
six,ستة
bush,شجيرة
islands,جزر
advice,نصيحة
career,حياة مهنية
military,جيش
rental,تأجير
decision,قرار
leave,يترك
british,بريطاني
teens,مراهقون
pre,قبل
huge,ضخم
sat,قعد
woman,امرأة
facilities,مرافق
zip,أَزِيز
bid,مُنَاقَصَة
kind,عطوف
sellers,البائعون
middle,وسط
move,يتحرك
cable,كابل
opportunities,فرص
taking,مع الأخذ
values,قيم
division,قسم
coming,آت
tuesday,يوم الثلاثاء
object,هدف
lesbian,مثليه
appropriate,ملائم
machine,آلة
logo,شعار
length,طول
actually,في الحقيقة
nice,لطيف - جيد
score,نتيجة
statistics,إحصائيات
client,عميل
ok,نعم
returns,عائدات
capital,عاصمة
follow,يتبع
sample,عينة
investment,استثمار
sent,مرسل
shown,يظهر
saturday,السبت
christmas,عيد الميلاد
england,إنكلترا
culture,ثقافة
band,فرقة
flash,فلاش
ms,آنسة
lead,يقود
george,جورج
choice,خيار
went,ذهب
starting,ابتداء
registration,تسجيل
fri,الجمعة
thursday,يوم الخميس
courses,الدورات
consumer,مستهلك
hi,أهلاً
airport,مطار
foreign,أجنبي
artist,فنان
outside,الخارج
furniture,أثاث
levels,مستويات
channel,قناة
letter,خطاب
mode,وضع
phones,الهواتف
ideas,الأفكار
wednesday,الأربعاء
structure,بناء
fund,تمويل
summer,صيف
allow,يسمح
degree,درجة
contract,عقد
button,زر
releases,إطلاق
wed,تزوج
homes,دور
super,ممتاز
male,ذكر
matter,موضوع
custom,مخصص
virginia,فرجينيا
almost,بالكاد
took,أخذ
located,تقع
multiple,عديد
asian,آسيوي
distribution,توزيع
editor,محرر
inn,ُخمارة
industrial,صناعي
cause,سبب
potential,محتمل
song,أغنية
cnet,CNET
ltd,المحدودة
los,لوس
hp,HP
focus,ركز
late,متأخر
fall,يسقط
featured,متميز
idea,فكرة
rooms,غرف
female,أنثى
responsible,مسؤول
inc,شركة
communications,مجال الاتصالات
win,يفوز
associated,مرتبط
thomas,توماس
primary,أساسي
cancer,سرطان
numbers,أعداد
reason,سبب
tool,أداة
browser,متصفح
spring,ربيع
foundation,مؤسسة
answer,إجابة
voice,صوت
eg,على سبيل المثال
friendly,ودي
schedule,جدول
documents,وثائق
communication,تواصل
purpose,غاية
feature,ميزة
bed,سرير
comes,يأتي
police,شرطة
everyone,الجميع
independent,مستقل
ip,IP
approach,يقترب
cameras,كاميرات
brown,بني
physical,بدني
operating,التشغيل
hill,تلة
maps,خرائط
medicine,الدواء
deal,اتفاق
hold,يمسك
ratings,تقييمات
chicago,شيكاغو
forms,نماذج
glass,زجاج
happy,سعيد
tue,الثلاثاء
smith,حداد
wanted,مطلوب
developed,متطور
thank,شكر
safe,آمن
unique,فريد
survey,استطلاع
prior,قبل
telephone,هاتف
sport,رياضة
ready,مستعد
feed,يٌطعم
animal,حيوان
sources,مصادر
mexico,المكسيك
population,سكان
pa,السلطة الفلسطينية
regular,عادي
secure,يؤمن
navigation,ملاحة
operations,عمليات
therefore,لذلك
simply,ببساطة
evidence,شهادة
station,محطة
christian,مسيحي
round,دائري
paypal,PayPal
favorite,مفضل
understand,يفهم
option,خيار
master,يتقن
valley,الوادي
recently,حديثاً
probably,من المحتمل
thu,الخميس
rentals,الإيجارات
sea,بحر
built,مبني
publications,المنشورات
blood,دم
cut,يقطع
worldwide,في جميع أنحاء العالم
improve,يحسن
connection,اتصال
publisher,الناشر
hall,قاعة
larger,أكبر
anti,مضاد
networks,الشبكات
earth,أرض
parents,آباء
nokia,نوكيا
impact,تأثير
transfer,تحويل
introduction,مقدمة
kitchen,مطبخ
strong,قوي
tel,هاتف
carolina,كارولينا
wedding,قِرَان
properties,ملكيات
hospital,مستشفى
ground,أرضي
overview,ملخص
ship,سفينة
accommodation,إقامة
owners,المالكين
disease,مرض
tx,تكساس
excellent,ممتاز
paid,مدفوع
italy,إيطاليا
perfect,ممتاز
hair,شعر
opportunity,فرصة
kit,عدة
classic,كلاسيكي
basis,أساس
command,يأمر
cities,مدن
william,وليام
express,يعبر
anal,شرجي
award,جائزة
distance,مسافة
tree,شجرة
peter,نفذ
assessment,تقدير
ensure,يضمن
thus,هكذا
wall,حائط
ie,أي
involved,متضمن
el,el
extra,إضافي
especially,خصوصاً
interface,واجهه المستخدم
pussy,كس
partners,الشركاء
budget,ميزانية
rated,تقييم
guides,خطوط إرشاد
success,نجاح
maximum,أقصى
ma,م
operation,عملية
existing,موجود
quite,تمامًا
selected,المحدد
boy,ولد
amazon,أمازون
patients,مرضى
restaurants,المطاعم
beautiful,جميل
warning,تحذير
wine,خمر
locations,المواقع
horse,حصان
vote,تصويت
forward,إلى الأمام
flowers,زهور
stars,النجوم
significant,بارِز
lists,قوائم
technologies,التقنيات
owner,مالك
retail,بيع بالتجزئة
animals,الحيوانات
useful,مفيد
directly,مباشرة
manufacturer,الصانع
ways,طرق
est,EST
son,ابن
providing,توفير
rule,قاعدة
mac,ماك
housing,السكن
takes,يأخذ
iii,ثالثا
gmt,بتوقيت غرينيتش
bring,يحضر
catalog,فهرس
searches,عمليات البحث
max,الأعلى
trying,محاولة
mother,الأم
authority,سلطة
considered,يعتبر
told,أخبر
xml,XML
traffic,مرور
programme,برنامج
joined,انضم
input,مدخل
strategy,إستراتيجية
feet,قدم
agent,عامل
valid,صالح
bin,سلة مهملات
modern,حديث
senior,كبير
ireland,أيرلندا
teaching,تعليم
door,باب
grand,كبير
testing,اختبارات
trial,محاكمة
charge,تكلفة
units,الوحدات
instead,بدلاً من
canadian,كندي
cool,رائع
normal,طبيعي
wrote,كتب
enterprise,مَشرُوع
ships,السفن
entire,كامل
educational,تعليمية
md,MD
leading,قيادة
metal,معدن
positive,إيجابي
fl,فلوريدا
fitness,لياقة بدنية
chinese,صينى
opinion,رأي
mb,ميغابايت
asia,آسيا
football,كرة القدم
abstract,خلاصة
uses,الاستخدامات
output,انتاج
funds,أموال
mr,السيد
greater,أكبر
likely,محتمل
develop,يطور
employees,موظفين
artists,الفنانين
alternative,بديل
processing,يعالج
responsibility,مسؤولية
resolution,دقة
java,جافا
guest,ضيف
seems,يبدو
publication,النشر
pass,يمر
relations,علاقات
trust,يثق
van,سيارة نقل
contains,يتضمن
session,حصة
multi,متعدد
photography,التصوير
republic,جمهورية
fees,مصاريف
components,عناصر
vacation,أجازة
century,قرن
academic,أكاديمي
assistance,مساعدة
completed,مكتمل
skin,جلد
graphics,الرسومات
indian,الهندي
prev,السابق
ads,إعلانات
mary,ماري
il,انا
expected,مُتوقع
ring,جرس
grade,درجة
dating,مواعدة
pacific,المحيط الهادئ
mountain,جبل
organizations,المنظمات
pop,البوب
filter,منقي
mailing,المراسلات
vehicle,عربة
longer,طويل
consider,يعتبر
int,int
northern,شمالي
behind,خلف
panel,لوحة
floor,أرضية
german,ألمانية
buying,الشراء
match,مباراة
proposed,مقترح
default,تقصير
require,يتطلب
iraq,العراق
boys,أولاد
outdoor,في الخارج
deep,عميق
morning,صباح
otherwise,خلاف ذلك
allows,يسمح
rest,استراحة
protein,بروتين
plant,نبات
reported,ذكرت
hit,يضرب
transportation,مواصلات
mm,مم
pool,حمام سباحة
mini,ميني
politics,سياسة
partner,شريك
disclaimer,تنصل
authors,المؤلفون
boards,المجالس
faculty,كلية
parties,حفلات
fish,سمكة
membership,عضوية
mission,مهمة
eye,عين
string,خيط
sense,حاسة
modified,معدل
pack,علية
released,مطلق سراحه
stage,منصة
internal,داخلي
goods,بضائع
recommended,مُستَحسَن
born,وُلِدّ
unless,إلا إذا
richard,ريتشارد
detailed,مفصلة
japanese,اليابانية
race,سباق
approved,موافقة
background,خلفية
target,هدف
except,يستثني
character,شخصية
maintenance,صيانة
ability,قدرة
maybe,ربما
functions,المهام
ed,إد
moving,متحرك
brands,العلامات التجارية
places,أماكن
php,بي أتش بي
pretty,جميل
trademarks,علامات تجارية
phentermine,فينترمين
spain,إسبانيا
southern,الجنوب
yourself,نفسك
etc,إلخ
winter,شتاء
rape,اغتصاب
battery,بطارية
youth,شباب
pressure,ضغط
submitted,مُقَدَّم
boston,بوسطن
incest,سفاح القربى
debt,دَين
keywords,الكلمات الدالة
medium,واسطة
television,التلفاز
interested,مهتم
core,جوهر
break,استراحة
purposes,المقاصد
throughout,طَوَال
sets,مجموعات
dance,الرقص
wood,خشب
msn,MSN
itself,بحد ذاتها
defined,مُعرف
papers,أوراق
playing,تلعب
awards,جوائز
fee,مصاريف
studio,الاستوديو
reader,قارئ
virtual,افتراضي
device,جهاز
established,مقرر
answers,إجابات
rent,إيجار
las,لاس
remote,بعيد
dark,مظلم
programming,برمجة
external,خارجي
apple,تفاحة
le,لو
regarding,متعلق
instructions,تعليمات
min,دقيقة
offered,تقدم
theory,نظرية
enjoy,يتمتع
remove,يزيل
aid,يساعد
surface,سطح
minimum,الحد الأدنى
visual,مرئي
host,يستضيف
variety,متنوع
teachers,معلمون
isbn,ISBN
martin,مارتن
manual,يدوي
block,حاجز
subjects,المواضيع
agents,عملاء
increased,زيادة
repair,بصلح
fair,عدل
civil,مدني
steel,فُولاَذ
understanding,فهم
songs,الأغاني
fixed,مُثَبَّت
wrong,خطأ
beginning,بداية
hands,اليدين
associates,المرتبطين
finally,أخيراً
az,AZ
updates,التحديثات
desktop,سطح المكتب
classes,الطبقات
paris,باريس
ohio,أوهايو
gets,يحصل على
sector,قطاع
capacity,سعة
requires,يتطلب
jersey,جيرسي
un,الأمم المتحدة
fat,سمين
fully,تماما
father,أب
electric,كهربائي
saw,رأى
instruments,الادوات
quotes,يقتبس
officer,ضابط
driver,سائق
businesses,الأعمال
dead,ميت
respect,احترام
unknown,مجهول
specified,محدد
restaurant,مطعم
mike,مايك
trip,رحلة
pst,PST
worth,يستحق
mi,مي
procedures,إجراءات
poor,فقير
teacher,مدرس
xxx,xxx
eyes,عيون
relationship,علاقة
workers,عمال
farm,مزرعة
georgia,جورجيا
peace,سلام
traditional,تقليدي
campus,حرم الجامعة
tom,توم
showing,تظهر
creative,مبدع
coast,ساحل
benefit,فائدة
progress,تقدم
funding,التمويل
devices,الأجهزة
lord,رب
grant,منحة
sub,الفرعية
agree,يوافق
fiction,خيالي
hear,يسمع
sometimes,أحيانا
watches,ساعات
careers,وظائف
beyond,وَرَاءَ
goes,يذهب
families,العائلات
led,قاد
museum,متحف
themselves,أنفسهم
fan,معجب
transport,ينقل
interesting,مثير للاهتمام
blogs,المدونات
wife,زوجة
evaluation,تقييم
accepted,قبلت
former,سابق
implementation,تطبيق
ten,عشرة
hits,يضرب
zone,منطقة
complex,معقد
th,ذ
cat,قطة
galleries,صالات العرض
references,مراجع
die,موت
presented,قدم
jack,جاك
flat,مستوي
flow,تدفق
agencies,وكالات
literature,الأدب
respective,خاص به
parent,الأبوين
spanish,الأسبانية
michigan,ميشيغان
columbia,كولومبيا
setting,جلسة
dr,دكتور
scale,حجم
stand,يقف
economy,اقتصاد
highest,أعلى
helpful,متعاون
monthly,شهريا
critical,شديد الأهمية
frame,إطار
musical,موسيقي
definition,تعريف
secretary,سكرتير
angeles,أنجلوس
networking,الشبكات
path,طريق
australian,أسترالي
employee,موظف
chief,رئيس
gives,يعطي
kb,كيلو بايت
bottom,قاع
magazines,المجلات
packages,حزم
detail,التفاصيل
